GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,PLUS_MINUS,season,season_type
2018-11-30,LAL vs. DAL,W,31,28,5,4,0,1,4,12,21,0.571,2,4,0.5,2,4,0.5,10,2018-19,Regular Season
2018-12-02,LAL vs. PHX,W,31,22,6,8,0,1,5,9,17,0.529,1,5,0.2,3,4,0.75,12,2018-19,Regular Season
2018-12-05,LAL vs. SAS,W,40,42,5,6,2,0,2,15,24,0.625,3,7,0.429,9,13,0.692,19,2018-19,Regular Season
2018-12-07,LAL @ SAS,L,37,35,8,11,2,0,1,13,28,0.464,3,8,0.375,6,9,0.667,-19,2018-19,Regular Season
2018-12-08,LAL @ MEM,W,32,20,8,9,2,0,5,9,18,0.5,0,3,0.0,2,3,0.667,21,2018-19,Regular Season
2018-12-10,LAL vs. MIA,W,38,28,9,12,1,0,2,10,19,0.526,4,7,0.571,4,8,0.5,18,2018-19,Regular Season
2018-12-13,LAL @ HOU,L,36,29,5,4,2,0,3,12,18,0.667,3,6,0.5,2,6,0.333,-9,2018-19,Regular Season
2018-12-15,LAL @ CHA,W,30,24,12,11,1,0,3,7,15,0.467,2,6,0.333,8,12,0.667,31,2018-19,Regular Season
2018-12-16,LAL @ WAS,L,32,13,6,3,0,1,4,5,16,0.313,0,2,0.0,3,6,0.5,-21,2018-19,Regular Season
2018-12-18,LAL @ BKN,L,41,36,13,8,1,1,5,13,23,0.565,2,7,0.286,8,13,0.615,4,2018-19,Regular Season
2018-12-21,LAL vs. NOP,W,39,22,12,14,2,0,2,8,20,0.4,0,4,0.0,6,9,0.667,13,2018-19,Regular Season
2018-12-23,LAL vs. MEM,L,36,22,14,7,1,1,4,8,14,0.571,2,5,0.4,4,4,1.0,-3,2018-19,Regular Season
2018-12-25,LAL @ GSW,W,21,17,13,5,1,0,2,6,11,0.545,0,2,0.0,5,8,0.625,5,2018-19,Regular Season
2019-01-31,LAL @ LAC,W,40,24,14,9,1,0,4,9,22,0.409,1,6,0.167,5,7,0.714,2,2018-19,Regular Season
2019-02-05,LAL @ IND,L,30,18,7,9,1,0,6,7,12,0.583,2,5,0.4,2,3,0.667,-17,2018-19,Regular Season
2019-02-07,LAL @ BOS,W,38,28,12,12,3,0,3,11,21,0.524,5,10,0.5,1,5,0.2,11,2018-19,Regular Season
2019-02-10,LAL @ PHI,L,33,18,10,9,0,0,4,8,16,0.5,2,6,0.333,0,0,0.0,0,2018-19,Regular Season
2019-02-12,LAL @ ATL,L,43,28,11,16,3,1,2,8,20,0.4,3,10,0.3,9,11,0.818,0,2018-19,Regular Season
2019-02-21,LAL vs. HOU,W,40,29,12,6,1,1,4,11,23,0.478,0,4,0.0,7,10,0.7,6,2018-19,Regular Season
2019-02-23,LAL @ NOP,L,39,27,7,12,4,1,4,11,17,0.647,3,6,0.5,2,6,0.333,-10,2018-19,Regular Season
2019-02-25,LAL @ MEM,L,40,24,12,11,3,0,5,8,23,0.348,0,4,0.0,8,10,0.8,2,2018-19,Regular Season
2019-02-27,LAL vs. NOP,W,37,33,6,10,2,1,2,13,24,0.542,4,9,0.444,3,8,0.375,2,2018-19,Regular Season
2019-03-01,LAL vs. MIL,L,39,31,7,10,1,0,3,10,19,0.526,3,8,0.375,8,10,0.8,-4,2018-19,Regular Season
2019-03-02,LAL @ PHX,L,41,27,9,16,0,0,3,10,21,0.476,4,9,0.444,3,7,0.429,-1,2018-19,Regular Season
2019-03-04,LAL vs. LAC,L,42,27,8,6,1,1,2,9,18,0.5,1,6,0.167,8,12,0.667,-11,2018-19,Regular Season
2019-03-06,LAL vs. DEN,L,31,31,7,7,1,1,4,13,22,0.591,2,7,0.286,3,8,0.375,-8,2018-19,Regular Season
2019-03-09,LAL vs. BOS,L,28,30,10,12,0,0,3,13,23,0.565,1,5,0.2,3,7,0.429,11,2018-19,Regular Season
2019-03-12,LAL @ CHI,W,33,36,10,4,2,0,5,15,23,0.652,2,4,0.5,4,5,0.8,9,2018-19,Regular Season
